"","Loc1","Loc2","Loc3","Loc4","Loc5","Loc6","Loc7","Loc8","Loc9","Loc10","Loc11","Loc12","Loc13","Loc14","Loc15","Loc16","Loc17","Loc18","Loc19","Loc20","Loc21","Loc22","Loc23","Loc24","Loc25","Loc26","Loc27","Loc28","Loc29","Loc30","Loc31","Loc32","Loc33","Loc34","Loc35","Loc36","Loc37","Loc38","Loc39","Loc40","Loc41","Loc42","Loc43","Loc44","Loc45","Loc46","Loc47","Loc48","Loc49","Loc50","Loc51","Loc52","Loc53","Loc54","Loc55","Loc56","Loc57","Loc58","Loc59","Loc60","Loc61","Loc62","Loc63","Loc64","Loc65","Loc66","Loc67","Loc68","Loc69","Loc70","Loc71","Loc72","Loc73","Loc74","Loc75","Loc76","Loc77","Loc78","Loc79","Loc80","Loc81","Loc82","Loc83","Loc84","Loc85","Loc86","Loc87","Loc88","Loc89","Loc90","Loc91","Loc92","Loc93","Loc94","Loc95","Loc96","Loc97","Loc98","Loc99","Loc100"
"signal1",2,1,1,1,1,1,1,2,1,1,1,2,0,1,2,2,2,4,0,1,2,1,3,0,0,2,9,1,2,3,0,2,2,1,1,0,0,5,2,0,1,4,1,0,1,2,2,4,2,2,1,0,1,0,0,0,4,3,0,1,2,1,1,1,3,0,7,0,2,1,1,0,0,0,1,1,0,3,0,1,0,8,1,5,2,0,0,6,2,3,0,2,0,2,1,1,1,2,2,1
"signal2",2,4,3,8,2,3,0,3,6,0,0,1,1,0,0,1,2,2,1,0,0,3,0,0,2,1,9,3,3,4,2,0,3,3,6,2,0,1,1,0,3,8,1,0,1,3,1,2,3,5,2,4,1,4,2,3,2,0,4,1,0,3,0,4,2,2,0,7,0,6,1,0,3,1,0,1,3,1,0,1,3,0,0,8,11,1,2,0,1,3,9,1,4,0,0,6,0,1,4,2
"signal3",0,5,1,1,2,2,4,0,1,1,1,0,2,2,3,1,2,7,2,0,7,1,2,0,3,2,6,2,3,8,8,0,3,2,1,1,0,4,1,2,0,1,1,0,1,0,3,2,0,0,1,1,1,3,1,0,4,2,0,0,3,2,3,1,1,3,0,1,2,0,2,2,0,1,3,2,2,3,0,1,2,0,1,5,6,1,4,2,3,1,5,1,2,1,6,13,0,2,0,2
"signal4",4,2,3,0,5,1,3,0,3,0,0,3,2,2,0,0,0,0,0,2,0,0,0,1,2,2,3,1,0,3,2,3,5,0,0,1,2,0,0,2,2,6,1,1,1,0,1,10,0,3,1,5,4,2,0,0,0,3,0,3,7,2,0,2,1,3,0,2,4,2,2,0,3,1,2,0,3,3,6,1,0,0,2,2,6,1,3,1,2,1,8,0,1,1,5,4,7,0,0,3
"signal5",0,1,0,0,1,2,2,0,2,1,0,1,3,2,1,0,1,2,7,3,4,1,4,0,5,0,0,3,7,1,2,4,5,1,4,2,2,0,1,4,3,0,1,2,0,0,3,10,0,2,0,4,6,1,2,4,0,3,1,1,1,2,0,0,0,0,0,4,0,1,1,0,6,1,3,6,6,2,1,1,7,0,2,4,5,2,0,0,0,2,6,0,5,1,4,2,17,1,1,3
"signal6",3,2,1,3,7,0,0,1,0,1,1,1,0,3,1,0,1,2,4,6,1,2,4,3,0,1,5,1,2,1,1,0,1,2,3,0,1,2,2,1,2,15,3,2,0,5,1,7,6,3,4,2,4,1,1,0,0,0,3,4,4,2,1,3,1,1,5,2,4,1,1,1,1,2,6,1,1,4,3,0,1,0,2,0,10,1,3,3,9,2,0,3,1,2,0,2,15,5,1,8
"signal7",1,3,1,6,0,1,2,12,4,2,4,1,1,1,1,0,2,4,3,0,1,1,0,4,0,1,3,0,1,0,0,0,2,3,0,1,2,2,5,1,0,6,1,0,0,3,0,1,2,0,4,3,3,1,2,3,5,0,0,0,0,4,5,1,3,4,5,4,2,4,0,0,0,8,1,3,1,4,3,1,9,0,1,0,4,4,6,3,1,3,1,0,2,6,0,1,5,5,0,1
"signal8",2,0,0,1,0,1,1,0,0,2,2,4,0,5,4,3,4,2,4,1,5,0,4,1,3,3,2,0,2,0,3,0,1,4,2,4,2,1,3,1,3,5,0,4,3,3,1,5,0,3,0,1,0,0,7,0,1,2,4,7,1,4,2,1,6,2,4,1,3,6,0,2,4,2,1,1,0,6,3,4,1,7,2,1,14,0,0,0,2,3,5,1,0,0,3,2,3,3,0,1
"signal9",4,6,1,2,0,3,1,1,1,10,3,1,1,1,2,3,2,1,0,3,2,2,3,5,4,0,4,2,3,0,0,4,4,0,1,1,0,4,3,0,3,2,0,3,3,5,1,4,1,2,5,3,4,6,0,0,1,5,2,3,0,4,4,3,1,1,2,0,2,0,1,1,2,2,2,5,1,0,1,0,2,0,0,8,3,3,2,2,6,2,1,2,10,1,1,4,4,6,0,2
"signal10",2,6,2,1,2,0,0,4,0,2,4,0,0,3,6,1,3,2,1,1,0,1,0,2,1,2,1,1,2,2,0,4,2,3,6,1,2,0,1,0,7,7,1,1,0,1,3,10,6,3,1,0,0,1,3,10,1,4,1,3,2,1,2,0,1,1,0,0,10,2,7,4,1,0,1,3,0,5,0,1,4,1,4,2,3,0,1,0,6,5,2,13,1,0,4,0,1,1,0,0
