"","Loc1","Loc2","Loc3","Loc4","Loc5","Loc6","Loc7","Loc8","Loc9","Loc10","Loc11","Loc12","Loc13","Loc14","Loc15","Loc16","Loc17","Loc18","Loc19","Loc20","Loc21","Loc22","Loc23","Loc24","Loc25","Loc26","Loc27","Loc28","Loc29","Loc30","Loc31","Loc32","Loc33","Loc34","Loc35","Loc36","Loc37","Loc38","Loc39","Loc40","Loc41","Loc42","Loc43","Loc44","Loc45","Loc46","Loc47","Loc48","Loc49","Loc50","Loc51","Loc52","Loc53","Loc54","Loc55","Loc56","Loc57","Loc58","Loc59","Loc60","Loc61","Loc62","Loc63","Loc64","Loc65","Loc66","Loc67","Loc68","Loc69","Loc70","Loc71","Loc72","Loc73","Loc74","Loc75","Loc76","Loc77","Loc78","Loc79","Loc80","Loc81","Loc82","Loc83","Loc84","Loc85","Loc86","Loc87","Loc88","Loc89","Loc90","Loc91","Loc92","Loc93","Loc94","Loc95","Loc96","Loc97","Loc98","Loc99","Loc100"
"signal1",5,2,4,3,4,1,4,6,3,3,1,6,1,4,2,7,6,11,2,4,7,5,9,0,1,2,9,4,4,3,0,6,6,4,3,2,0,11,5,0,1,4,1,3,1,8,2,4,3,4,1,1,1,1,0,1,10,6,2,1,4,4,4,4,10,7,7,3,2,3,5,0,0,1,4,5,0,3,1,2,0,21,2,7,1,5,27,4,15,0,11,2,2,3,14,5,6,0,6,0
"signal2",4,2,4,1,9,0,2,18,6,21,2,2,2,6,6,0,4,3,3,2,0,2,10,15,11,1,4,10,0,0,8,1,6,11,4,3,5,5,7,3,6,10,0,4,1,1,2,6,8,12,0,3,1,2,6,7,7,4,5,6,1,12,4,5,1,6,4,2,0,15,3,14,5,2,8,4,0,1,8,3,0,5,3,1,2,19,8,1,6,1,6,9,1,0,2,10,2,2,16,2
"signal3",3,9,6,0,11,1,3,9,7,7,2,13,8,18,0,0,17,3,15,8,21,9,15,2,5,1,2,2,17,0,5,13,1,2,6,2,1,7,6,1,1,1,4,4,2,2,0,2,1,4,0,8,1,1,1,5,4,5,10,1,8,2,3,6,9,2,6,6,0,3,5,1,4,3,1,4,3,2,7,7,0,3,2,2,5,10,6,1,9,6,8,2,15,6,5,1,0,8,1,6
"signal4",32,2,5,10,10,1,2,3,0,13,0,10,5,0,0,1,2,3,1,3,3,4,8,4,14,3,11,2,1,0,2,8,1,0,5,7,6,3,2,1,0,6,3,1,3,4,5,9,5,0,0,0,3,3,10,15,7,3,4,1,7,2,4,11,7,7,2,11,2,11,3,2,2,14,0,2,2,2,6,3,3,2,2,3,17,0,6,0,8,7,0,3,8,0,4,1,0,2,6,2
"signal5",4,6,5,0,3,3,5,2,2,4,2,15,7,10,1,12,5,14,12,2,0,8,3,9,11,1,9,3,8,1,1,17,8,0,3,5,2,1,7,4,0,4,0,11,6,4,2,11,2,9,1,3,1,6,3,2,2,0,1,4,1,5,4,1,12,2,9,14,6,5,4,2,17,8,1,6,0,4,7,2,0,7,6,1,12,3,2,1,0,3,0,8,5,5,3,4,8,8,6,1
"signal6",6,16,0,3,4,0,4,4,2,2,3,3,1,4,2,15,15,3,8,8,1,3,5,3,4,1,2,0,4,2,8,0,6,6,7,2,5,15,9,1,1,16,1,14,1,7,1,5,4,5,1,0,1,7,10,10,5,5,7,0,12,4,8,2,5,6,4,8,6,3,3,11,4,3,0,11,2,0,7,0,8,2,2,8,1,2,5,0,5,15,12,5,19,7,8,4,14,4,5,2
"signal7",27,3,7,23,1,0,3,1,6,12,0,3,0,6,1,9,2,3,2,4,1,1,1,4,6,0,3,5,8,5,4,1,6,3,0,2,8,1,1,2,0,10,3,9,1,6,3,12,2,2,0,3,4,11,4,7,9,13,11,2,10,1,2,1,20,8,8,4,4,8,4,21,9,5,7,1,5,1,2,10,3,2,2,16,2,7,5,5,0,2,7,2,1,6,2,3,3,3,3,2
"signal8",8,14,1,7,4,6,7,12,11,3,3,23,3,5,6,22,5,4,16,15,2,10,13,10,15,0,4,5,7,1,8,5,3,10,9,2,12,4,4,2,3,4,7,3,1,6,4,19,7,12,0,5,2,11,11,8,13,0,7,4,4,3,7,0,13,5,9,4,7,5,3,14,0,0,0,5,3,5,4,1,0,7,2,3,11,4,3,6,0,14,7,4,3,5,1,7,10,2,4,2
"signal9",7,8,12,10,0,1,5,9,1,1,4,12,2,1,4,10,10,4,6,8,8,1,3,4,3,2,14,9,1,3,0,9,14,2,6,0,11,12,9,1,1,5,0,7,0,5,1,8,4,11,0,3,0,2,2,6,2,2,19,2,10,8,2,3,5,3,3,10,2,3,2,6,22,0,6,17,2,6,1,6,2,15,7,4,5,3,4,4,1,7,13,13,11,5,2,8,3,3,0,1
"signal10",0,6,2,6,1,1,5,8,11,19,1,4,0,3,0,16,23,5,1,6,9,16,12,12,3,1,0,9,7,1,0,0,4,8,9,3,7,10,7,1,2,3,0,5,1,1,1,2,11,3,0,0,6,12,5,4,10,2,0,1,8,0,14,1,0,4,21,4,1,4,4,4,8,7,3,1,1,0,18,0,0,8,1,2,1,2,5,2,7,3,3,0,6,3,3,10,24,6,4,5
"signal11",10,15,6,4,5,4,10,4,4,6,0,1,4,1,1,4,7,4,4,5,2,3,0,7,6,1,9,14,8,2,8,3,11,2,25,13,1,16,2,1,2,2,1,3,1,6,0,11,1,14,5,10,2,8,5,5,2,1,2,7,6,6,5,10,4,11,6,9,0,19,18,2,4,5,6,8,0,4,4,7,5,13,1,4,3,2,3,1,2,9,6,7,3,3,9,1,4,18,4,0
"signal12",2,1,1,3,2,2,1,6,21,4,0,3,16,2,0,4,3,4,16,7,10,1,5,16,13,1,5,2,1,3,0,2,1,2,2,9,0,8,3,0,5,3,0,7,1,5,1,2,1,1,2,3,0,2,22,4,9,1,8,3,4,5,2,5,1,5,10,2,0,15,7,4,0,7,4,2,3,0,12,9,0,17,0,8,0,14,7,3,7,14,5,11,6,9,7,6,9,2,5,2
"signal13",7,2,1,5,5,2,6,5,16,5,3,21,8,14,1,1,4,4,3,6,4,2,15,10,3,4,3,4,16,1,4,6,10,9,2,18,7,2,8,0,2,0,5,3,2,0,3,24,4,1,4,1,1,2,3,0,9,4,6,1,3,4,5,1,4,5,7,8,2,11,4,10,17,8,9,6,0,7,1,5,1,10,0,3,6,5,1,3,10,3,2,12,14,3,4,2,13,5,1,5
"signal14",4,1,1,8,19,1,6,9,11,8,0,3,11,4,4,3,4,7,1,14,7,8,3,5,9,9,3,6,4,0,5,1,7,6,2,22,4,7,5,0,2,3,1,5,1,10,1,1,7,6,3,7,3,13,9,7,2,5,4,0,8,9,3,6,8,10,1,7,4,3,16,13,8,13,20,7,0,6,9,2,3,8,2,18,7,5,18,1,2,4,3,4,2,19,4,7,3,3,2,1
"signal15",3,8,10,13,9,4,5,2,11,16,0,6,1,6,3,2,0,10,9,8,6,7,12,0,5,1,4,10,5,7,2,5,22,6,11,13,13,8,2,6,2,1,0,0,3,1,3,11,2,1,2,3,1,15,7,0,13,5,9,2,8,9,1,4,6,2,7,3,1,7,11,1,9,7,2,17,2,0,4,8,1,18,1,8,0,6,1,1,9,9,16,2,1,14,8,9,9,5,8,1
"signal16",20,4,20,9,2,0,1,2,0,6,3,2,29,5,3,7,4,2,3,8,6,9,2,2,4,0,8,4,8,0,5,5,0,3,5,1,7,9,7,2,3,4,1,11,1,6,3,6,5,10,2,3,3,8,10,2,5,9,6,0,4,3,13,10,7,3,5,16,1,14,5,6,1,9,9,5,3,0,2,1,3,0,0,8,18,4,2,4,9,17,3,6,2,5,3,14,9,8,1,3
"signal17",12,0,0,10,5,0,1,6,9,14,6,7,3,6,2,7,1,8,7,0,8,0,2,4,0,1,5,7,9,2,4,4,0,1,3,0,4,2,9,0,0,1,0,5,5,5,0,7,3,10,0,13,0,12,7,1,1,0,6,3,2,8,2,1,6,5,4,8,3,5,4,0,15,3,10,9,1,0,13,3,2,12,0,14,0,7,5,1,1,7,1,0,1,9,11,11,4,9,8,0
"signal18",8,5,1,11,5,1,6,20,4,6,1,1,11,4,2,7,1,6,10,4,0,9,12,5,12,1,4,18,4,3,4,0,9,4,1,5,12,8,2,6,0,1,1,9,6,2,3,4,4,4,3,8,0,3,5,1,2,9,5,4,2,13,1,3,7,0,15,3,0,8,6,0,15,6,5,2,4,1,6,11,0,0,0,1,1,0,0,2,5,20,1,1,2,0,4,3,2,8,4,3
"signal19",3,7,4,12,2,1,9,4,3,5,3,4,5,3,1,6,1,2,5,6,14,2,2,1,2,4,6,8,9,0,9,0,5,0,18,6,5,5,1,0,1,2,2,10,0,3,1,7,8,3,1,4,0,1,15,2,0,2,4,0,5,10,1,3,0,14,8,3,1,1,12,0,3,9,6,19,1,1,9,4,1,4,6,4,3,6,4,1,7,2,12,3,1,0,1,4,1,4,10,4
"signal20",9,11,9,15,8,2,4,0,0,5,1,3,9,4,0,1,3,2,4,4,0,4,4,5,2,2,5,11,6,2,20,2,2,5,0,0,13,4,8,1,2,13,1,12,0,3,3,3,1,25,2,16,3,6,17,3,1,2,10,5,3,4,6,19,0,6,2,4,1,6,6,4,0,1,11,4,0,3,7,0,1,4,4,5,1,3,8,0,1,12,14,3,3,4,8,0,10,4,9,1
"signal21",1,9,7,10,13,3,4,7,8,6,0,8,2,4,1,20,12,1,3,7,9,8,0,1,6,7,2,3,9,0,14,0,3,3,8,5,1,14,4,0,5,5,1,6,2,7,2,3,2,2,0,2,0,10,12,2,3,0,1,3,0,9,3,3,4,2,2,4,0,24,5,3,9,2,6,8,6,4,6,6,2,9,2,8,1,1,0,0,0,0,5,6,0,4,5,3,4,3,10,4
"signal22",18,4,10,2,2,3,20,7,12,4,3,4,14,0,3,7,12,8,7,3,4,5,8,3,3,3,1,2,2,1,5,5,12,4,2,8,3,8,2,0,4,2,2,0,0,5,2,24,3,5,1,10,2,1,12,10,8,7,6,5,12,1,5,11,11,5,4,10,3,4,0,13,3,13,5,2,0,3,13,14,5,5,1,3,13,3,6,0,14,1,2,0,15,2,1,3,5,7,1,4
"signal23",4,6,8,12,4,0,2,5,2,10,1,4,3,6,1,5,2,6,8,2,4,11,6,9,10,0,6,7,13,1,8,3,1,3,8,3,3,5,5,2,2,3,4,8,7,10,4,4,5,1,0,6,2,4,2,3,17,1,14,1,16,3,2,3,1,1,3,1,4,0,9,9,1,2,8,10,0,0,10,10,0,4,2,7,4,9,9,1,7,10,12,7,0,9,13,0,9,6,4,1
"signal24",14,0,0,3,0,0,12,2,8,5,1,17,11,9,1,8,3,1,11,1,3,7,4,3,4,3,15,12,15,2,11,12,2,0,6,8,5,1,9,1,1,3,5,1,4,8,0,16,0,6,0,6,0,6,3,2,4,1,6,7,10,2,8,0,15,3,11,7,1,0,8,2,8,5,3,11,3,1,0,2,4,1,1,4,13,1,12,1,3,6,1,6,7,11,3,0,12,4,10,0
"signal25",1,11,4,2,2,1,0,15,9,2,3,0,8,5,4,5,5,3,10,7,15,3,7,6,12,0,9,1,15,0,8,8,20,1,2,14,2,1,5,4,0,2,1,6,3,1,3,3,3,10,0,0,0,7,2,10,7,1,0,2,5,2,0,0,9,11,3,1,4,0,9,9,7,4,4,8,2,0,4,2,4,3,1,1,6,9,6,3,4,6,10,9,11,8,3,1,5,5,0,3
"signal26",1,0,6,14,3,0,0,3,9,5,2,7,3,10,0,3,8,2,5,10,4,4,11,6,2,0,5,3,3,3,8,4,7,2,5,0,27,3,2,0,0,1,1,4,2,20,7,4,2,0,0,3,11,2,2,1,4,6,7,1,2,1,3,3,8,9,1,11,2,3,7,10,16,4,4,10,0,4,2,0,1,7,1,5,8,7,6,1,0,8,4,0,6,5,0,2,7,18,10,6
"signal27",3,16,4,4,5,2,5,7,10,5,0,9,2,19,1,12,4,13,6,5,3,6,0,11,10,5,8,6,2,0,11,6,8,12,9,4,7,0,3,3,1,8,0,8,0,5,1,7,2,8,1,13,2,1,6,17,4,4,14,2,7,12,7,1,6,1,3,7,3,1,7,3,0,5,8,9,2,2,7,18,0,0,0,7,10,0,4,1,4,6,11,5,7,9,4,7,5,11,2,5
"signal28",8,10,2,3,0,1,5,10,0,11,2,1,1,1,3,3,11,7,5,7,13,9,1,3,1,2,22,9,7,5,3,2,4,2,0,8,1,6,11,6,3,4,5,3,2,11,3,0,4,3,4,1,2,16,5,6,7,4,1,3,7,15,9,4,0,3,9,5,5,3,4,7,2,6,4,4,7,4,6,0,0,6,2,7,2,3,4,1,7,2,5,7,4,14,6,5,11,22,3,11
"signal29",2,5,7,0,3,4,13,1,9,7,0,17,10,2,4,1,0,1,1,3,2,3,2,16,12,2,8,4,2,2,4,17,1,3,2,17,1,15,2,2,4,7,1,7,0,1,0,9,6,7,4,12,0,7,5,5,1,6,4,3,4,8,4,2,3,6,11,1,4,2,20,12,0,0,12,2,6,6,1,15,0,5,1,7,13,9,2,2,6,7,6,6,4,14,7,8,3,2,12,1
"signal30",2,3,5,0,15,1,2,1,1,15,1,9,2,4,1,7,1,0,0,5,31,2,15,6,4,6,7,6,0,2,7,9,3,11,5,2,4,3,1,0,1,6,2,5,0,7,3,1,14,2,3,10,1,1,10,8,10,14,15,4,1,5,5,0,11,6,25,11,0,9,0,1,13,5,1,6,1,0,9,14,2,0,1,8,0,6,4,1,13,12,7,10,6,13,1,10,9,0,1,0
"signal31",11,9,13,8,0,3,2,17,9,3,0,17,14,4,2,4,3,4,2,9,19,22,1,5,2,3,4,8,4,4,1,1,10,3,9,6,12,1,8,1,0,2,1,9,2,1,2,4,5,3,0,7,3,2,16,8,12,7,3,3,5,9,7,11,2,6,13,9,0,11,10,6,1,3,1,3,0,4,4,0,2,4,2,13,2,2,1,2,12,6,5,5,2,6,2,1,28,4,1,2
"signal32",4,0,8,5,4,1,3,1,3,19,5,4,9,3,0,2,22,26,2,13,10,8,4,0,10,2,6,16,3,2,4,13,8,4,8,0,3,3,2,1,2,4,4,1,4,7,0,2,26,8,2,1,0,6,21,5,2,4,13,0,6,3,4,1,7,1,0,0,0,6,3,0,2,7,4,3,2,4,6,0,4,3,1,1,3,5,8,2,7,13,12,4,0,17,14,2,5,9,1,1
"signal33",1,10,0,5,1,0,5,1,6,0,1,9,2,1,3,2,2,3,8,1,9,0,9,6,9,7,9,3,10,1,0,4,0,3,0,8,7,5,15,1,8,5,3,3,3,5,1,2,4,6,2,3,0,0,3,4,5,4,10,0,6,0,5,4,6,0,12,3,3,4,2,5,8,4,3,0,0,0,10,12,5,8,0,3,10,0,8,0,2,11,5,8,10,2,10,2,10,3,9,2
"signal34",8,9,3,1,0,2,3,4,0,0,5,1,7,10,3,3,4,3,3,9,7,5,8,6,4,0,3,7,6,2,13,10,19,1,9,6,3,2,6,0,0,3,0,2,0,7,0,15,6,6,2,5,0,8,5,3,1,6,4,3,11,5,13,3,6,6,2,6,0,3,1,8,6,9,10,2,0,2,11,9,2,21,0,1,7,18,30,1,21,1,1,13,3,12,6,1,7,9,11,4
"signal35",2,1,6,2,6,1,9,4,17,6,1,5,2,4,2,9,2,14,4,1,7,5,13,4,5,0,6,13,6,2,5,0,8,5,8,4,12,8,13,4,1,6,5,1,0,16,0,5,14,7,1,2,1,6,0,2,1,7,4,0,4,2,4,3,15,2,10,8,3,8,1,3,5,4,3,10,3,0,9,3,3,2,1,0,7,1,4,0,6,2,3,5,8,8,0,14,0,1,15,6
"signal36",13,4,6,9,7,1,18,5,8,19,0,9,11,4,0,2,7,1,3,1,0,12,0,10,1,0,8,5,7,2,9,1,0,6,11,5,19,0,3,2,4,5,0,12,3,0,0,6,8,1,2,9,0,2,5,8,2,5,3,2,10,19,6,7,4,3,3,2,3,2,6,0,5,3,4,1,1,1,6,1,1,1,9,8,10,3,2,3,4,9,1,4,10,0,7,3,3,3,14,1
"signal37",1,14,9,8,2,4,10,3,4,17,1,10,3,3,2,9,18,0,4,3,9,8,4,7,3,0,6,5,5,1,2,10,3,7,6,1,5,0,1,0,2,6,3,5,1,9,4,10,16,5,0,2,0,2,2,5,1,5,23,5,5,6,5,10,11,5,8,4,2,5,6,3,1,1,8,1,1,1,2,0,4,5,3,4,2,4,3,2,1,4,3,2,2,2,3,5,10,0,7,3
"signal38",4,4,10,9,6,3,1,4,8,7,0,5,5,4,4,1,8,7,6,5,8,3,3,2,8,1,6,10,3,1,11,2,8,4,17,2,1,12,3,5,4,9,1,10,3,19,0,13,6,1,0,1,0,2,2,2,2,1,3,0,7,7,5,6,9,2,1,12,8,8,13,7,11,9,4,2,0,1,4,2,0,5,9,2,1,10,30,2,11,3,2,0,5,4,7,1,0,8,4,0
"signal39",0,2,14,3,0,0,0,8,12,0,1,3,1,1,2,10,3,2,9,1,10,1,6,0,2,1,4,3,12,2,15,3,0,4,4,3,5,5,2,1,3,22,3,0,4,5,5,4,4,2,1,4,3,5,1,2,6,1,7,2,1,3,13,6,2,9,4,2,1,3,3,3,4,9,6,13,4,4,7,2,2,6,0,6,6,2,6,2,3,3,1,4,0,5,4,8,0,31,1,4
"signal40",4,0,12,5,18,2,8,2,0,5,2,2,3,3,0,3,10,8,10,5,3,6,9,11,8,1,5,2,5,2,12,3,7,1,11,4,18,4,14,6,3,8,1,4,0,8,0,15,4,0,0,0,0,8,6,0,6,1,4,2,2,4,7,4,8,5,12,2,0,6,3,7,10,1,6,12,1,0,5,4,3,5,1,4,7,15,2,2,13,15,2,3,17,1,5,5,8,9,17,2
"signal41",2,0,3,5,6,0,13,13,3,1,1,5,3,8,1,10,5,12,6,3,7,4,15,10,11,0,4,17,0,4,4,2,7,14,8,3,3,2,6,2,0,2,0,7,2,13,1,8,0,7,2,11,2,8,7,9,11,10,0,5,4,8,0,4,13,8,12,4,7,4,9,3,11,6,21,5,5,1,6,4,3,4,0,10,1,8,5,3,8,4,1,1,0,2,2,1,10,3,5,6
"signal42",2,7,12,9,13,3,9,0,1,3,2,4,10,22,1,5,12,9,6,0,4,6,2,9,5,2,9,7,4,0,2,6,3,0,8,10,3,0,8,2,0,7,5,5,1,2,6,6,12,1,2,5,1,8,9,4,9,15,5,1,7,0,1,3,0,7,14,3,0,7,2,1,10,7,5,4,2,0,14,7,2,4,1,16,2,3,4,0,8,1,0,20,31,3,2,8,10,2,12,5
"signal43",4,3,4,11,2,3,1,0,5,12,2,2,2,3,5,11,4,15,1,0,5,5,6,3,5,0,9,15,2,2,13,9,15,0,0,7,3,2,4,4,7,5,1,14,0,3,2,5,3,6,0,8,2,5,3,3,9,10,4,0,8,12,4,4,10,0,7,8,2,9,3,12,8,10,20,7,5,1,10,11,2,11,0,7,1,4,3,2,4,3,21,11,9,5,6,7,7,5,1,1
"signal44",1,8,1,3,18,0,12,6,25,2,5,6,1,4,2,1,7,8,2,5,2,11,1,6,11,0,1,1,12,2,9,6,6,3,6,7,3,1,11,2,0,14,3,2,1,12,2,11,2,8,2,0,0,5,12,1,3,16,4,1,12,10,18,16,3,7,5,3,2,2,2,3,3,4,12,13,3,0,6,7,2,4,1,16,7,19,0,4,5,8,4,3,5,5,14,1,0,4,18,1
"signal45",6,8,5,7,9,2,8,5,9,5,2,7,0,10,1,2,8,0,5,12,8,6,3,4,0,1,18,9,11,5,6,0,2,6,4,1,2,5,0,1,1,1,1,10,3,1,3,2,8,12,2,2,0,5,6,8,3,11,11,2,0,3,2,6,20,7,1,4,6,6,9,4,2,8,3,2,2,3,5,3,1,10,1,4,7,5,4,3,5,14,13,2,5,9,3,11,7,1,4,1
"signal46",6,2,11,11,6,3,3,6,8,1,2,3,10,9,6,4,2,0,2,6,3,6,1,10,12,2,3,1,4,0,12,4,12,1,5,13,2,9,3,2,4,9,0,0,1,3,0,1,8,1,3,1,2,12,12,5,1,7,6,1,4,2,4,7,5,2,1,4,2,1,3,12,5,1,4,5,1,4,5,12,1,2,5,5,3,4,7,2,2,3,11,3,5,1,6,1,9,3,16,2
"signal47",8,4,0,3,5,2,3,0,5,4,3,6,4,5,1,1,2,10,6,2,0,3,17,2,7,5,8,2,10,4,4,31,1,13,11,0,3,7,3,2,4,6,2,12,2,9,5,5,4,5,3,2,1,9,6,5,2,3,22,1,8,2,3,0,5,11,12,0,8,0,8,1,4,1,4,4,0,6,5,5,1,10,5,13,2,5,11,2,0,12,2,4,4,3,1,8,6,19,8,2
"signal48",4,6,9,8,0,5,7,13,4,4,1,6,13,11,3,5,0,5,15,4,10,8,12,1,0,5,9,3,1,0,8,12,2,0,8,2,1,0,8,5,2,1,0,2,0,11,0,2,0,15,5,14,1,4,12,3,6,9,0,0,13,4,15,2,1,11,5,12,0,1,6,1,7,3,2,7,0,0,3,6,0,7,7,1,5,5,5,1,2,10,8,0,7,2,6,7,2,6,9,1
"signal49",4,12,6,8,11,3,5,6,6,4,0,1,1,7,3,1,10,8,0,6,0,9,7,6,7,1,2,4,5,2,8,11,7,13,2,9,10,2,5,1,3,7,0,4,3,6,1,1,12,6,9,10,0,3,7,6,15,1,13,2,13,8,12,0,3,2,4,4,6,3,8,12,4,8,6,5,3,1,1,15,3,3,0,6,8,11,13,1,5,4,5,5,3,16,6,7,9,4,10,4
"signal50",2,0,13,24,2,3,0,7,15,3,6,1,12,5,1,7,1,2,2,7,3,4,5,4,1,0,4,1,7,1,10,7,6,2,4,3,6,10,9,0,0,3,2,5,6,2,1,3,0,0,4,16,2,11,3,4,13,11,10,0,11,10,17,2,11,4,5,2,3,4,3,1,1,13,7,6,2,1,4,7,5,7,2,9,3,3,7,2,9,7,3,4,1,7,21,0,1,4,2,1
"signal51",1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,0,1,2,0,1,2,1,0,2,0,0,0,0,1,1,0,0,1,2,2,0,1,0,1,1,0,1,3,0,0,6,2,0,0,0,1,4,1,0,2,0,0,1,1,1,0,1,0,1,1,0,2,0,0,0,0,0,1,1,0,2,1,1,0,0,1,0,0,0,2,1,1,0,0,0,0,3,1,0,0,0,0,0,8
"signal52",0,0,0,2,6,5,0,0,0,1,4,1,0,1,0,2,3,0,0,1,0,0,3,0,0,1,0,0,0,4,0,0,0,0,1,3,1,0,0,3,0,0,3,1,5,0,3,0,1,0,1,1,2,0,1,0,1,1,2,0,0,1,1,0,0,0,2,1,1,0,0,0,2,0,0,2,2,3,0,0,1,0,1,1,0,0,1,2,0,0,0,1,1,0,1,3,0,0,0,1
"signal53",3,0,0,2,0,1,0,1,0,4,1,2,0,1,1,0,0,0,0,0,0,0,0,1,0,6,0,0,0,4,0,0,2,1,0,1,0,2,2,0,4,3,2,0,2,0,2,0,0,1,1,0,3,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,2,1,1,0,1,5,0,2,4,0,3,1,1,3,2,5,2,3,1,1,1,1,0,2,0,0,0,12
"signal54",4,1,0,0,1,3,2,2,0,1,2,2,1,0,2,1,0,0,0,1,0,0,0,0,0,1,1,1,0,14,2,1,0,1,2,4,0,0,0,2,0,0,1,0,2,0,1,0,0,1,3,0,7,2,0,1,1,0,0,4,0,2,2,0,0,1,1,0,3,1,1,5,1,1,1,0,0,2,1,0,4,1,0,1,1,2,0,6,1,0,3,0,3,0,2,1,2,0,1,7
"signal55",3,0,1,2,0,0,0,1,0,0,2,0,0,0,6,1,0,0,2,1,2,1,0,0,2,0,1,0,3,1,2,1,0,0,0,0,0,0,1,2,1,1,0,0,2,1,0,1,0,0,2,2,0,0,2,0,3,0,1,6,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,2,1,3,2,2,3,3,1,0,1,0,2,2,0,0,1,0,1,0,0,0,0,3,1,0
"signal56",1,0,0,0,1,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,2,1,0,0,0,3,0,0,3,0,0,1,0,1,1,1,0,2,1,0,0,0,1,1,1,0,1,0,2,2,2,0,0,0,0,0,0,0,1,1,2,3,0,1,0,0,0,0,1,0,0,0,1,1,4,0,1,0,0,1,0,0,0,0,1,1,0,2,1,2,1,1
"signal57",0,0,3,3,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,2,0,4,1,0,0,1,3,0,1,0,1,0,0,0,2,1,0,3,0,4,0,1,0,0,1,5,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1,1,0,0,4,2,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,2,0,0,2,0,0,1,1
